,meanImp,medianImp,minImp,maxImp,normHits,decision
peak_dat_Range,0.68820314,0.686048114,-1.080512225,2.535800947,0,Rejected
mou_peav_Range,8.689297416,8.683038505,5.922445812,11.03606449,1,Confirmed
mou_pead_Range,1.032496257,0.804278909,-0.044361838,2.686908133,0.01010101,Rejected
opk_vce_Range,6.489157829,6.503916584,4.159456552,8.251180732,1,Confirmed
opk_dat_Range,1.06653234,0.861488162,-0.957765929,2.421569617,0.01010101,Rejected
mou_opkv_Range,8.192079217,8.144017625,5.543561592,10.41722402,1,Confirmed
mou_opkd_Range,1.78895682,2.017184608,-0.98545019,3.64480022,0.090909091,Rejected
drop_blk_Range,4.19239294,4.264772355,1.70356373,6.149869732,0.96969697,Confirmed
attempt_Range,7.440129024,7.453999284,5.564323889,10.02017554,1,Confirmed
complete_Range,6.889206042,6.871698494,4.726172602,9.581487151,1,Confirmed
callfwdv_Range,0.223976512,0.246888799,-1.196807016,1.835544532,0,Rejected
callwait_Range,1.956986827,2.065128391,-0.133589197,3.617549799,0.323232323,Confirmed
months,7.466679467,7.461276319,4.780178494,10.12831116,1,Confirmed
uniqsubs,2.472589426,2.426638155,0.044212237,5.256529453,0.474747475,Confirmed
actvsubs,1.935653283,2.016587707,-0.632497181,4.594444291,0.333333333,Rejected
new_cell,0.423586867,0.246466264,-1.161195284,3.187214186,0.01010101,Rejected
crclscod,8.505270087,8.49452932,6.536261193,11.12163193,1,Confirmed
asl_flag,6.830065806,6.776853619,3.690982458,9.155181312,1,Confirmed
totcalls,10.4441053,10.34688773,8.463823646,13.09010415,1,Confirmed
totmou,8.272372616,8.239885014,6.072379305,10.8065019,1,Confirmed
totrev,7.674079902,7.665806608,5.308295109,9.927647929,1,Confirmed
adjrev,7.329204604,7.322410661,5.32545307,9.648394452,1,Confirmed
adjmou,7.954861282,7.877894458,5.944926829,10.47761028,1,Confirmed
adjqty,9.747671599,9.77443095,6.659373499,12.38610885,1,Confirmed
avgrev,8.127074684,7.990695801,6.133296933,10.19884962,1,Confirmed
avgmou,8.268641824,8.289272859,5.871011769,10.69479825,1,Confirmed
avgqty,11.3890618,11.29733154,8.842357506,14.73434726,1,Confirmed
avg3mou,14.01160801,14.0554245,11.93331564,16.50519382,1,Confirmed
avg3qty,12.48825804,12.42979583,9.485964364,15.18329642,1,Confirmed
avg3rev,6.319467995,6.378239984,3.652847394,9.314489825,1,Confirmed
csa,1.214671477,1.565810273,-0.447602083,2.477783536,0,Rejected
area,0.741806243,0.773795546,-0.231424307,2.183621686,0,Rejected
dualband,4.964107285,4.972063019,2.519423215,6.742582485,0.98989899,Confirmed
refurb_new,5.319888647,5.380410773,2.661171706,7.9753299,1,Confirmed
hnd_price,20.47370205,20.55299472,18.5355243,22.1317419,1,Confirmed
phones,9.183862346,9.130187604,7.910687205,11.16642705,1,Confirmed
models,10.9397237,10.92815919,9.558346659,12.74335023,1,Confirmed
hnd_webcap,15.46469634,15.42824502,13.54450796,17.00921027,1,Confirmed
eqpdays,32.36270927,32.48198962,28.90886602,36.16033537,1,Confirmed
